inspection_type,job_ticket_or_work_order_id,job_id,job_progress,bbl,boro_code,block,lot,house_number,street_name,zip_code,latitude,longitude,borough,inspection_date,result,approved_date,location,community_board,council_district,census_tract,bin,nta,x_coord,y_coord
Initial,14235176,PC8655035,1,2032120046,2,03212,0046,2336,UNIVERSITY AVENUE,10468,40.861348119053,-73.906184443411,Bronx,2026-01-30T08:18:00.000,Failed for Other R,2026-02-04T13:47:15.000,"{'latitude': '40.861348119053', 'longitude': '-73.906184443411', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,253,2014605,University Heights (North)-Fordham,,
Initial,14236934,PC8655822,1,2030810048,2,03081,0048,666,EAST 181 STREET,10457,40.849316324688,-73.888959892013,Bronx,2026-01-30T08:19:00.000,Rat Activity,2026-02-05T11:00:46.000,"{'latitude': '40.849316324688', 'longitude': '-73.888959892013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,373,2012362,Tremont,,
Initial,14235177,PC8655400,1,2032120042,2,03212,0042,2328,UNIVERSITY AVENUE,10468,40.86122743655,-73.906289456206,Bronx,2026-01-30T08:22:00.000,Failed for Other R,2026-02-04T13:48:35.000,"{'latitude': '40.86122743655', 'longitude': '-73.906289456206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,253,2014603,University Heights (North)-Fordham,,
Initial,14236935,PC8655804,1,2030810008,2,03081,0008,2120,HUGHES AVENUE,10457,40.849718028943,-73.889971309829,Bronx,2026-01-30T08:27:00.000,Rat Activity,2026-02-05T11:33:10.000,"{'latitude': '40.849718028943', 'longitude': '-73.889971309829', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,373,2114116,Tremont,,
Initial,14235260,PC8654503,1,1020820047,1,02082,0047,520,WEST 151 STREET,10031,40.829347984541,-73.945645775795,Manhattan,2026-01-30T08:28:00.000,Rat Activity,2026-02-02T12:16:20.000,"{'latitude': '40.829347984541', 'longitude': '-73.945645775795', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,237,1062162,Hamilton Heights-Sugar Hill,,
Initial,14235180,PC8655731,1,2032120015,2,03212,0015,2272,UNIVERSITY AVENUE,10468,40.860396394551,-73.907042591744,Bronx,2026-01-30T08:31:00.000,Failed for Other R,2026-02-04T13:51:26.000,"{'latitude': '40.860396394551', 'longitude': '-73.907042591744', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,253,2014594,University Heights (North)-Fordham,,
Initial,14235301,PC8657237,1,4006510069,4,00651,0069,30-58,37 STREET,11103,40.763267982485,-73.917715972566,Queens,2026-01-30T08:35:00.000,Failed for Other R,2026-02-03T11:23:32.000,"{'latitude': '40.763267982485', 'longitude': '-73.917715972566', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,22,63,4010036,Astoria (Central),1007044,217369
Initial,14235350,PC8655397,1,2031980021,2,03198,0021,2326,GRAND AVENUE,10468,40.860614069223,-73.904717709902,Bronx,2026-01-30T08:37:03.000,Failed for Other R,2026-02-03T13:06:32.000,"{'latitude': '40.860614069223', 'longitude': '-73.904717709902', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,253,2014247,University Heights (North)-Fordham,,
Initial,14236936,PC8655186,1,2030810017,2,03081,0017,2113,BELMONT AVENUE,10457,40.848993021142,-73.889556838039,Bronx,2026-01-30T08:39:00.000,Rat Activity,2026-02-05T11:31:40.000,"{'latitude': '40.848993021142', 'longitude': '-73.889556838039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,373,2012357,Tremont,,
Initial,14235351,PC8655765,1,2031980020,2,03198,0020,2322,GRAND AVENUE,10468,40.860575661009,-73.904739456356,Bronx,2026-01-30T08:42:03.000,Failed for Rat Act,2026-02-03T13:06:48.000,"{'latitude': '40.860575661009', 'longitude': '-73.904739456356', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,253,2014246,University Heights (North)-Fordham,,
Initial,14235352,PC8655619,1,2031980018,2,03198,0018,2320,GRAND AVENUE,10468,40.860556459896,-73.90475394477,Bronx,2026-01-30T08:47:03.000,Failed for Rat Act,2026-02-03T13:07:05.000,"{'latitude': '40.860556459896', 'longitude': '-73.90475394477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,253,2014245,University Heights (North)-Fordham,,
Initial,14235353,PC8655200,1,2031980017,2,03198,0017,2316,GRAND AVENUE,10468,40.860518051675,-73.904775691184,Bronx,2026-01-30T08:52:03.000,Failed for Other R,2026-02-03T13:07:26.000,"{'latitude': '40.860518051675', 'longitude': '-73.904775691184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,253,2014244,University Heights (North)-Fordham,,
Compliance,14235302,PC8622827,3,4006510019,4,00651,0019,30-65,36 STREET,11103,40.763521125664,-73.918592867568,Queens,2026-01-30T08:59:00.000,Rat Activity,2026-02-03T11:36:06.000,"{'latitude': '40.763521125664', 'longitude': '-73.918592867568', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,22,63,4009986,Astoria (Central),1006801,217461
Initial,14235269,PC8654285,1,1020820001,1,02082,0001,3640,BROADWAY,10031,40.829683959419,-73.948059328904,Manhattan,2026-01-30T09:02:00.000,Rat Activity,2026-02-02T14:03:41.000,"{'latitude': '40.829683959419', 'longitude': '-73.948059328904', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,237,1062137,Hamilton Heights-Sugar Hill,,
Treatments,3062427,PC8596827,10,1020660021,1,02066,0021,486,Convent Ave,10031,40.828531403696,-73.94277736363,Manhattan,2026-01-30T09:06:22.000,Bait applied,2026-02-03T10:41:11.000,"{'latitude': '40.828531403696', 'longitude': '-73.94277736363', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,23501,1061592,Hamilton Heights-Sugar Hill,,
Initial,14235213,PC8658562,1,3010900004,3,01090,0004,414,8 STREET,11215,40.667267382082,-73.980628437023,Brooklyn,2026-01-30T09:10:00.000,Rat Activity,2026-02-02T08:38:50.000,"{'latitude': '40.667267382082', 'longitude': '-73.980628437023', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,39,153,3025856,Park Slope,989624,182383
Compliance,14235331,PC8349587,11,3023660012,3,02366,0012,228,METROPOLITAN AVENUE,11211,40.71513636187,-73.959955570623,Brooklyn,2026-01-30T09:12:00.000,Rat Activity,2026-02-02T07:39:33.000,"{'latitude': '40.71513636187', 'longitude': '-73.959955570623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,553,3062460,Williamsburg,995351,199825
Compliance,14235142,PC8646129,2,3013490007,3,01349,0007,97,UTICA AVENUE,11213,40.675476775186,-73.930478709138,Brooklyn,2026-01-30T09:22:00.000,Rat Activity,2026-02-02T08:58:23.000,"{'latitude': '40.675476775186', 'longitude': '-73.930478709138', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,307,3035812,Crown Heights (North),1003534,185381
Compliance,14235303,PC8567377,7,4006510028,4,00651,0028,30-43,36 STREET,11103,40.763902426167,-73.918281945386,Queens,2026-01-30T09:25:00.000,Rat Activity,2026-02-03T11:44:06.000,"{'latitude': '40.763902426167', 'longitude': '-73.918281945386', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,22,63,4009995,Astoria (Central),1006887,217600
Compliance,14235332,PC8327898,6,3023807501,3,02380,7501,142,NORTH    1 STREET,11249,40.715169821744,-73.961481431291,Brooklyn,2026-01-30T09:26:00.000,Rat Activity,2026-02-02T12:45:51.000,"{'latitude': '40.715169821744', 'longitude': '-73.961481431291', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,553,3062617,Williamsburg,994928,199837
Initial,14235100,PC8662161,1,1018550001,1,01855,0001,865,AMSTERDAM AVENUE,10025,40.798033205818,-73.967439707623,Manhattan,2026-01-30T09:30:51.000,Failed for Rat Act,2026-02-02T11:11:50.000,"{'latitude': '40.798033205818', 'longitude': '-73.967439707623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,7,189,1079408,Upper West Side-Manhattan Valley,,
Compliance,14235143,PC8644499,2,3013490002,3,01349,0002,107,UTICA AVENUE,11213,40.675202312966,-73.930504232142,Brooklyn,2026-01-30T09:31:00.000,Rat Activity,2026-02-02T09:00:18.000,"{'latitude': '40.675202312966', 'longitude': '-73.930504232142', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,307,3035807,Crown Heights (North),,
Treatments,3062428,PC8557850,12,1020590001,1,02059,0001,1681,Amsterdam Ave,10031,40.824024491269,-73.948475669157,Manhattan,2026-01-30T09:33:21.000,Bait applied,2026-02-03T10:40:43.000,"{'latitude': '40.824024491269', 'longitude': '-73.948475669157', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,227,1061269,Hamilton Heights-Sugar Hill,,
Compliance,14235333,PC8411958,7,3024430004,3,02443,0004,345,BERRY STREET,11249,40.712058289685,-73.964700782206,Brooklyn,2026-01-30T09:42:00.000,Rat Activity,2026-02-02T07:48:26.000,"{'latitude': '40.712058289685', 'longitude': '-73.964700782206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,549,3063423,Williamsburg,994036,198703
Initial,14235113,PC8661809,1,3011880040,3,01188,0040,990,PRESIDENT STREET,11225,40.669043180254,-73.959377747733,Brooklyn,2026-01-30T09:47:47.000,Failed for Other R,2026-02-02T11:38:20.000,"{'latitude': '40.669043180254', 'longitude': '-73.959377747733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,35,213,3029703,Crown Heights (South),995519,183032
Initial,14235325,PC8662447,1,4004650001,4,00465,0001,41-01,VERNON BOULEVARD,11101,40.756382326887,-73.947333440718,Queens,2026-01-30T09:48:49.000,Failed for Rat Act,2026-02-02T10:39:51.000,"{'latitude': '40.756382326887', 'longitude': '-73.947333440718', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,26,25,4433399,Queensbridge-Ravenswood-Dutch Kills,,
Compliance,14235599,PC8639552,2,3013600057,3,01360,0057,160,UTICA AVENUE,11213,40.673440278484,-73.930689931203,Brooklyn,2026-01-30T09:51:00.000,Rat Activity,2026-02-03T12:55:16.000,"{'latitude': '40.673440278484', 'longitude': '-73.930689931203', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,345,3036046,Crown Heights (North),1003476,184639
Treatments,3062429,PC8558788,19,1021010055,1,02101,0055,675,Riverside Drive,10031,40.826809268533,-73.952198877717,Manhattan,2026-01-30T09:59:49.000,Bait applied,2026-02-03T08:34:14.000,"{'latitude': '40.826809268533', 'longitude': '-73.952198877717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,229,1000000,Hamilton Heights-Sugar Hill,,
Compliance,14235607,PC8639141,2,1021770218,1,02177,0218,1316,RIVERSIDE DRIVE,10033,40.850371299922,-73.942823566239,Manhattan,2026-01-30T10:00:20.000,Rat Activity,2026-02-05T10:08:29.000,"{'latitude': '40.850371299922', 'longitude': '-73.942823566239', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,10,265,1064325,Washington Heights (North),1000068,249098
Treatments,3062491,PC8494284,15,1011680060,1,01168,0060,268,WEST   77 STREET,10024,40.782756308079,-73.981522724432,Manhattan,2026-01-30T10:00:39.000,Bait applied,2026-02-05T10:52:40.000,"{'latitude': '40.782756308079', 'longitude': '-73.981522724432', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,6,163,1030869,Upper West Side (Central),989367,224459
Initial,14235304,PC8664238,1,4006510026,4,00651,0026,30-49,36 STREET,11103,40.763798184515,-73.918365102131,Queens,2026-01-30T10:08:00.000,Rat Activity,2026-02-03T11:46:19.000,"{'latitude': '40.763798184515', 'longitude': '-73.918365102131', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,22,63,4009993,Astoria (Central),,
