formattedAddress,location,rating,displayName,latitude,longitude,address,inspection_type,inspection_date
"131 Ave. C, New York, NY 10009, USA","{'latitude': 40.7249955, 'longitude': -73.97852999999999}",4.4,"{'text': 'B-Side', 'languageCode': 'en'}",40.724887965789,-73.978277369621,131 Avenue C,Initial,2026-01-06T13:43:31.000
"131 Loisaida Ave, New York, NY 10009, USA","{'latitude': 40.7249525, 'longitude': -73.978419}",5.0,"{'text': 'Gramwich LES', 'languageCode': 'en'}",40.724887965789,-73.978277369621,131 Avenue C,Initial,2026-01-06T13:43:31.000
"200 W 106th St #34-ST3, New York, NY 10025, USA","{'latitude': 40.8004584, 'longitude': -73.96617359999999}",4.7,"{'text': 'PokeDoke', 'languageCode': 'en'}",40.800494792889,-73.965881759298,200 Duke Ellington Boulevard,Treatments,2026-01-07T10:00:38.000
"1447 St Nicholas Ave, New York, NY 10033, USA","{'latitude': 40.850344799999995, 'longitude': -73.9332381}",4.1,"{'text': 'La Casa Del Mofongo', 'languageCode': 'en'}",40.850127286366,-73.933147409541,1447 St Nicholas Avenue,Compliance,2026-01-07T10:25:54.000
"17 Clinton St, New York, NY 10002, USA","{'latitude': 40.7208699, 'longitude': -73.9844002}",4.9,"{'text': ""Uncle Sam's Pizza"", 'languageCode': 'en'}",40.720785507218,-73.984195156516,17 Clinton Street,Compliance,2026-01-07T10:31:22.000
"301 E 90th St, New York, NY 10128, USA","{'latitude': 40.7803998, 'longitude': -73.9494428}",5.0,"{'text': 'Krispy Chickpea', 'languageCode': 'en'}",40.780287397542,-73.949520674175,301 East   90 Street,Treatments,2026-01-07T11:00:48.000
"1709 Amsterdam Ave, New York, NY 10031, USA","{'latitude': 40.8248743, 'longitude': -73.9476346}",3.5,"{'text': 'Papa Johns Pizza', 'languageCode': 'en'}",40.824908004178,-73.947824596406,1709 Amsterdam Avenue,Compliance,2026-01-07T11:09:17.000
"4250 Broadway, New York, NY 10033, USA","{'latitude': 40.8498534, 'longitude': -73.9357989}",3.7,"{'text': 'Tamarindo', 'languageCode': 'en'}",40.849898358602,-73.936010418476,4250 Broadway,Compliance,2026-01-07T11:18:00.000
"2923 Frederick Douglass Blvd, New York, NY 10039, USA","{'latitude': 40.8290791, 'longitude': -73.9376583}",4.0,"{'text': 'Teng Dragon', 'languageCode': 'en'}",40.82899520722,-73.937403720627,2923 Fredrick Douglass Bl,Compliance,2026-01-07T11:39:35.000
"4240 Broadway, New York, NY 10033, USA","{'latitude': 40.8495479, 'longitude': -73.9360744}",3.0,"{'text': 'Chipotle Mexican Grill', 'languageCode': 'en'}",40.849624041993,-73.936292622472,4240 Broadway,Compliance,2026-01-07T11:42:00.000
"626 Manhattan Ave, Brooklyn, NY 11222, USA","{'latitude': 40.7237256, 'longitude': -73.9506043}",3.3,"{'text': 'Greenpoint organic market inc.', 'languageCode': 'en'}",40.723528977539,-73.950642545183,626 Manhattan Avenue,Compliance,2026-01-07T11:46:00.000
"602 Manhattan Ave, Brooklyn, NY 11222, USA","{'latitude': 40.72324390000001, 'longitude': -73.9502713}",4.4,"{'text': 'Spring House Nails & Sugaring Studio', 'languageCode': 'es'}",40.723122649396,-73.95040473804,602 Manhattan Avenue,Compliance,2026-01-07T12:04:00.000
"637 Wilson Ave, Brooklyn, NY 11207, USA","{'latitude': 40.689631399999996, 'longitude': -73.9058336}",4.1,"{'text': 'Wilson Live', 'languageCode': 'en'}",40.689471374417,-73.905972864087,637 Wilson Avenue,Treatments,2026-01-07T12:51:25.000
"3450 Broadway, New York, NY 10031, USA","{'latitude': 40.823520800000004, 'longitude': -73.9522669}",4.8,"{'text': 'GUAYUSA CAFE', 'languageCode': 'en'}",40.823619997056,-73.952483006014,3450 Broadway,Compliance,2026-01-07T12:53:17.000
