rating,latitude,longitude,restaurant_name,address,inspection_type,inspection_date,result
4.7,40.813955,-73.944016,Rejuvenate Juice bar,"171 W 133rd St, New York, NY 10030, USA",Compliance,2025-01-27 11:53:22,Failed for Rat Act
4.9,40.727033,-74.002032,Rei Restaurant,"142 Sullivan St, New York, NY 10012, USA",Treatments,2025-01-27 11:54:45,Bait applied
4.9,40.727033,-74.002032,Rei Restaurant,"142 Sullivan St, New York, NY 10012, USA",Treatments,2025-01-27 11:54:45,Bait applied
4.7,40.788428,-73.97715,"Crossbar - Coffee, Food, Soccer","250 W 86th St, New York, NY 10024, USA",Initial,2025-01-27 11:55:00,Failed for Other R
4.5,40.790956,-73.94699,Alison,"1651 Lexington Ave, New York, NY 10029, USA",Treatments,2025-01-27 11:55:05,Bait applied
4.2,40.842986,-73.885888,Kennedy Chicken,"879 E Tremont Ave, Bronx, NY 10460, USA",Initial,2025-01-27 12:04:44,Failed for Other R
2.3,40.769295,-73.95223,Subway,"1427 York Ave, New York, NY 10021, USA",Initial,2025-01-27 12:05:00,Failed for Rat Act
4.2,40.843016,-73.886567,Yaque River Lounge,"860 E Tremont Ave, Bronx, NY 10460, USA",Initial,2025-01-27 12:09:44,Rat Activity
4.3,40.858692,-73.898665,Meat Market Jazmin Corporation,"2356 Grand Concourse, Bronx, NY 10458, USA",Compliance,2025-01-27 12:18:00,Rat Activity
4.5,40.790328,-73.946074,G&J's Pizzeria,"188 E 104th St, New York, NY 10029, USA",Treatments,2025-01-27 12:19:05,Bait applied
5.0,40.812701,-73.941595,Lenox Deli & Salad,"New York, NY 10037, USA",Compliance,2025-01-27 12:19:22,Failed for Rat Act
3.9,40.681,-73.994127,Bagels By the Park,"323 Smith St, Brooklyn, NY 11231, USA",Compliance,2025-01-27 12:27:00,Rat Activity
3.9,40.681,-73.994127,Bagels By the Park,"323 Smith St, Brooklyn, NY 11231, USA",Compliance,2025-01-27 12:27:00,Rat Activity
4.3,40.768186,-73.955024,The Sweet Shop NYC,"404 E 73rd St, New York, NY 10021, USA",Initial,2025-01-27 12:30:00,Rat Activity
4.5,40.76017,-73.878498,Nana's Kitchen New York 🇨🇴,"90-01 31st Ave, East Elmhurst, NY 11369, USA",Compliance,2025-01-27 12:36:00,Rat Activity
3.3,40.789679,-73.942802,Apollo Pizza,"2036 2nd Ave Store 1, New York, NY 10029, USA",Treatments,2025-01-27 12:39:05,Bait applied
3.3,40.789679,-73.942802,Apollo Pizza,"2036 2nd Ave Store 1, New York, NY 10029, USA",Treatments,2025-01-27 12:39:05,Bait applied
3.3,40.789679,-73.942802,Apollo Pizza,"2036 2nd Ave Store 1, New York, NY 10029, USA",Treatments,2025-01-27 12:39:05,Bait applied
4.6,40.689847,-73.972327,Los Dos Hermanos,"264 Carlton Ave, Brooklyn, NY 11205, USA",Compliance,2025-01-27 12:50:00,Rat Activity
4.3,40.699837,-73.92062,Ugly Donuts & Corn Dogs Bushwick,"398 Knickerbocker Ave, Brooklyn, NY 11237, USA",Compliance,2025-01-27 13:07:56,Rat Activity
3.6,40.806333,-73.942641,Kennedy fried chicken burger and shake,"2 W 125th St, New York, NY 10027, USA",Treatments,2025-01-27 13:28:22,Bait applied
3.6,40.806333,-73.942641,Kennedy fried chicken burger and shake,"2 W 125th St, New York, NY 10027, USA",Treatments,2025-01-27 13:28:22,Bait applied
3.6,40.806333,-73.942641,Kennedy fried chicken burger and shake,"2 W 125th St, New York, NY 10027, USA",Treatments,2025-01-27 13:28:22,Bait applied
4.3,40.825152,-73.940022,Tulcimexico,"2798 Frederick Douglass Blvd, New York, NY 10039, USA",Compliance,2025-01-27 13:34:59,Rat Activity
4.5,40.65504,-73.960986,BROOKLYN PERK Coffee,"206 Parkside Ave, Brooklyn, NY 11226, USA",Treatments,2025-01-27 13:35:24,Bait applied
5.0,40.658312,-73.96063,Red Chaconia Cafe,"616 Flatbush Ave, Brooklyn, NY 11225, USA",Treatments,2025-01-27 13:55:24,Bait applied
,40.695154,-73.901813,Escapade,"16-22 Summerfield St, Ridgewood, NY 11385, USA",Initial,2025-01-28 08:00:00,Rat Activity
4.7,40.660391,-73.980095,Roast Coffee,"211 Prospect Park W, Brooklyn, NY 11215, USA",Treatments,2025-01-28 08:19:21,Bait applied
4.7,40.79236,-73.945924,Perch,"1693 Lexington Ave, New York, NY 10029, USA",Treatments,2025-01-28 08:53:00,Bait applied
4.1,40.844122,-73.887917,El Nuevo Bohío,"791 E Tremont Ave, Bronx, NY 10460, USA",Initial,2025-01-28 09:04:41,Rat Activity
4.3,40.768186,-73.955024,The Sweet Shop NYC,"404 E 73rd St, New York, NY 10021, USA",Treatments,2025-01-28 09:06:00,Bait applied
4.1,40.844122,-73.887917,El Nuevo Bohío,"791 E Tremont Ave, Bronx, NY 10460, USA",Initial,2025-01-28 09:08:30,Rat Activity
5.0,40.844577,-73.890224,La Casa de la Empanada,"1952 Clinton Ave, Bronx, NY 10457, USA",Initial,2025-01-28 09:08:41,Failed for Other R
4.1,40.844122,-73.887917,El Nuevo Bohío,"791 E Tremont Ave, Bronx, NY 10460, USA",Initial,2025-01-28 09:10:21,Rat Activity
3.3,40.789679,-73.942802,Apollo Pizza,"2036 2nd Ave Store 1, New York, NY 10029, USA",Treatments,2025-01-28 09:12:00,Bait applied
3.3,40.789679,-73.942802,Apollo Pizza,"2036 2nd Ave Store 1, New York, NY 10029, USA",Treatments,2025-01-28 09:12:00,Bait applied
3.3,40.789679,-73.942802,Apollo Pizza,"2036 2nd Ave Store 1, New York, NY 10029, USA",Treatments,2025-01-28 09:12:00,Bait applied
4.1,40.844122,-73.887917,El Nuevo Bohío,"791 E Tremont Ave, Bronx, NY 10460, USA",Initial,2025-01-28 09:12:51,Rat Activity
4.1,40.844122,-73.887917,El Nuevo Bohío,"791 E Tremont Ave, Bronx, NY 10460, USA",Initial,2025-01-28 09:14:00,Rat Activity
4.7,40.701641,-73.958074,Spitzer's Kosher Grocery,"657 Bedford Ave, Brooklyn, NY 11211, USA",Initial,2025-01-28 09:19:00,Rat Activity
2.7,40.62836,-74.01328,大拇指功夫厨房 Thumbs-Up KongFu Kitchen,"894 70th St, Brooklyn, NY 11228, USA",Initial,2025-01-28 09:27:38,Rat Activity
4.8,40.734965,-73.934779,Wonton Food Inc.,"52-10 37th St, Long Island City, NY 11101, USA",Treatments,2025-01-28 09:41:16,Bait applied
