rating,latitude,longitude,restaurant_name,address,inspection_type,inspection_date,result
3.6,40.727425,-73.989948,D:ICE,"223 E 5th St, New York, NY 10003, USA",Compliance,2026-03-02T08:00:00.000,Rat Activity
3.6,40.727425,-73.989948,D:ICE,"223 E 5th St, New York, NY 10003, USA",Compliance,2026-03-02T08:00:00.000,Rat Activity
N/A,40.727519,-73.98275,BABA DONER,"147 Avenue A, New York, NY 10009, USA",Compliance,2026-03-02T08:33:48.000,Rat Activity
N/A,40.727519,-73.98275,BABA DONER,"147 Avenue A, New York, NY 10009, USA",Compliance,2026-03-02T08:33:48.000,Rat Activity
N/A,40.727519,-73.98275,BABA DONER,"147 Avenue A, New York, NY 10009, USA",Compliance,2026-03-02T08:33:48.000,Rat Activity
4,40.694158,-73.961329,Nathan's Famous,"569 Myrtle Ave, Brooklyn, NY 11205, USA",Treatments,2026-03-02T08:49:20.000,Bait applied
N/A,40.641712,-74.006867,Le Tian Restaurant Inc.,"5110 7th Ave, Brooklyn, NY 11220, USA",Treatments,2026-03-02T09:24:00.000,Bait applied
N/A,40.641712,-74.006867,Le Tian Restaurant Inc.,"5110 7th Ave, Brooklyn, NY 11220, USA",Treatments,2026-03-02T09:24:00.000,Bait applied
N/A,40.641712,-74.006867,Le Tian Restaurant Inc.,"5110 7th Ave, Brooklyn, NY 11220, USA",Treatments,2026-03-02T09:38:00.000,Bait applied
N/A,40.641712,-74.006867,Le Tian Restaurant Inc.,"5110 7th Ave, Brooklyn, NY 11220, USA",Treatments,2026-03-02T09:38:00.000,Bait applied
3.7,40.833923,-73.941007,Dunkin',"1995 Amsterdam Ave, New York, NY 10032, USA",Treatments,2026-03-02T09:40:00.000,Bait applied
N/A,40.685919,-73.929484,Sa Imong,"209 Malcolm X Blvd Apt 2R, Brooklyn, NY 11221, USA",Initial,2026-03-02T09:48:00.000,Rat Activity
4,40.860547,-73.895017,China City,"308 E 188th St, Bronx, NY 10458, USA",Stoppage,2026-03-02T09:55:00.000,Stoppage done
3.5,40.834298,-73.941248,Tortilleria & Rosticeria El Guerrerence,"2002 Amsterdam Ave, New York, NY 10032, USA",Treatments,2026-03-02T09:55:54.000,Bait applied
4.9,40.686211,-73.929486,Flat Out Burger,"199 Malcolm X Blvd, Brooklyn, NY 11221, USA",Initial,2026-03-02T09:57:00.000,Rat Activity
4,40.699287,-73.923511,Happy Garden,"188 Wilson Ave, Brooklyn, NY 11237, USA",Initial,2026-03-02T10:14:30.000,Failed for Rat Act
4,40.699287,-73.923511,Happy Garden,"188 Wilson Ave, Brooklyn, NY 11237, USA",Initial,2026-03-02T10:24:32.000,Rat Activity
3.7,40.819395,-73.916429,Empanadas Monumental,"681 Melrose Ave, Bronx, NY 10455, USA",Stoppage,2026-03-02T10:26:00.000,Stoppage done
4,40.699287,-73.923511,Happy Garden,"188 Wilson Ave, Brooklyn, NY 11237, USA",Initial,2026-03-02T10:26:42.000,Failed for Rat Act
