rating,latitude,longitude,restaurant_name,address,inspection_type,inspection_date,result
3.7,40.682942,-73.93528,Brooklyn Beso,"370 Lewis Ave, Brooklyn, NY 11233, USA",Initial,2026-02-09T08:38:25.000,Rat Activity
3.7,40.682942,-73.93528,Brooklyn Beso,"370 Lewis Ave, Brooklyn, NY 11233, USA",Initial,2026-02-09T08:40:25.000,Rat Activity
5.0,40.68335,-73.934977,Soul Cafe Coffee Roasters,"478 Halsey St, Brooklyn, NY 11233, USA",Initial,2026-02-09T08:42:50.000,Rat Activity
5.0,40.68335,-73.934977,Soul Cafe Coffee Roasters,"478 Halsey St, Brooklyn, NY 11233, USA",Initial,2026-02-09T08:42:50.000,Rat Activity
4.6,40.725252,-73.983089,Buenos Aires,"513 E 6th St, New York, NY 10009, USA",Compliance,2026-02-09T08:59:47.000,Rat Activity
4.0,40.833858,-73.856645,Sirenas 2 Mexican Restaurant & Bar,"2031 Westchester Ave, Bronx, NY 10462, USA",Treatments,2026-02-09T09:07:14.000,Bait applied
4.0,40.693966,-73.930402,juicetruckNycw,"1102 Broadway, Brooklyn, NY 11206, USA",Treatments,2026-02-09T09:20:27.000,Bait applied
4.4,40.723988,-73.980179,TOKUYAMATCHA & ONIGIRAZU BAR- E 6th St.,"627 E 6th St, New York, NY 10009, USA",Compliance,2026-02-09T09:27:24.000,Rat Activity
4.0,40.741191,-73.983285,Popeyes Louisiana Kitchen,"75 Lexington Ave, New York, NY 10010, USA",Treatments,2026-02-09T09:30:56.000,Bait applied
4.6,40.685223,-73.950379,Geno's Fish and Chips,"369 Nostrand Ave, Brooklyn, NY 11216, USA",Initial,2026-02-09T09:35:51.000,Rat Activity
4.4,40.576524,-73.96745,Berikoni Georgian Bakery,"125 Brighton Beach Ave, Brooklyn, NY 11235, USA",Treatments,2026-02-09T09:55:00.000,Bait applied
4.5,40.684747,-73.929116,Peri Peri Grill House,"235 Malcolm X Blvd, Brooklyn, NY 11233, USA",Initial,2026-02-09T09:58:00.000,Failed for Other R
4.7,40.786095,-73.975835,La Pizza Italia,"493 Amsterdam Ave, New York, NY 10024, USA",Treatments,2026-02-09T10:00:50.000,Bait applied
4.6,40.684484,-73.929113,Natural Blend,"243 Malcolm X Blvd, Brooklyn, NY 11233, USA",Initial,2026-02-09T10:09:00.000,Rat Activity
3.9,40.73841,-73.982538,Pick A Bagel on 23rd street,"210 E 23rd St, New York, NY 10010, USA",Treatments,2026-02-09T10:27:56.000,Bait applied
5.0,40.728896,-73.980451,The Community Boutique & Cafe,"515 E 12th St, New York, NY 10009, USA",Compliance,2026-02-09T10:58:19.000,Rat Activity
5.0,40.728896,-73.980451,The Community Boutique & Cafe,"515 E 12th St, New York, NY 10009, USA",Compliance,2026-02-09T10:58:19.000,Rat Activity
4.0,40.699287,-73.923511,Happy Garden,"188 Wilson Ave, Brooklyn, NY 11237, USA",Compliance,2026-02-09T11:15:59.000,Rat Activity
3.7,40.730399,-73.983039,Gena's Grill,"210 1st Ave, New York, NY 10009, USA",Compliance,2026-02-09T11:16:35.000,Failed for Other R
3.7,40.730399,-73.983039,Gena's Grill,"210 1st Ave, New York, NY 10009, USA",Compliance,2026-02-09T11:16:35.000,Failed for Other R
4.2,40.833584,-73.929257,Paradise,"1021 Ogden Ave, Bronx, NY 10452, USA",Initial,2026-02-09T11:17:32.000,Rat Activity
4.6,40.579006,-73.97605,Georgian Corner,"626 Sheepshead Bay Rd, Brooklyn, NY 11224, USA",Initial,2026-02-09T11:18:15.000,Failed for Rat Act
5.0,40.7804,-73.949443,Krispy Chickpea,"301 E 90th St, New York, NY 10128, USA",Compliance,2026-02-09T11:27:02.000,Failed for Rat Act
4.6,40.826518,-73.950136,Yolanda’s Tamales,"Broadway &, W 145th St, New York, NY 10031, USA",Treatments,2026-02-09T12:00:39.000,Bait applied
4.2,40.825787,-73.948497,Wats On Your Plate,"513 W 145th St, New York, NY 10031, USA",Treatments,2026-02-09T12:06:39.000,Bait applied
4.1,40.794962,-73.970037,Ozen Sushi Asian Fusion,"760 Amsterdam Ave, New York, NY 10025, USA",Compliance,2026-02-09T12:10:00.000,Rat Activity
4.2,40.825787,-73.948497,Wats On Your Plate,"513 W 145th St, New York, NY 10031, USA",Treatments,2026-02-09T12:11:39.000,Bait applied
4.4,40.825956,-73.946881,Village Chicken & Burger,"1739 Amsterdam Ave, New York, NY 10031, USA",Treatments,2026-02-09T12:18:39.000,Bait applied
4.4,40.825956,-73.946881,Village Chicken & Burger,"1739 Amsterdam Ave, New York, NY 10031, USA",Treatments,2026-02-09T12:18:39.000,Bait applied
4.9,40.723867,-73.990257,Kawa Omakase,"37 E 1st St, New York, NY 10003, USA",Initial,2026-02-09T12:20:34.000,Rat Activity
4.4,40.825956,-73.946881,Village Chicken & Burger,"1739 Amsterdam Ave, New York, NY 10031, USA",Treatments,2026-02-09T12:23:39.000,Bait applied
4.4,40.825956,-73.946881,Village Chicken & Burger,"1739 Amsterdam Ave, New York, NY 10031, USA",Treatments,2026-02-09T12:23:39.000,Bait applied
5.0,40.777749,-73.953801,Spoonable Spirits,"214 E 85th St, New York, NY 10028, USA",Initial,2026-02-09T12:25:02.000,Failed for Rat Act
5.0,40.825903,-73.947366,Texas Chicken & burger,"1734 Amsterdam Ave, New York, NY 10031, USA",Treatments,2026-02-09T12:29:39.000,Bait applied
4.3,40.828589,-73.916581,Hungry Bird,"980 Morris Ave, Bronx, NY 10456, USA",Compliance,2026-02-09T12:30:46.000,Failed for Other R
5.0,40.825903,-73.947366,Texas Chicken & burger,"1734 Amsterdam Ave, New York, NY 10031, USA",Treatments,2026-02-09T12:34:39.000,Bait applied
4.3,40.702192,-73.920344,Caraotas,"162 Irving Ave, Brooklyn, NY 11237, USA",Compliance,2026-02-09T12:38:45.000,Rat Activity
4.4,40.594948,-73.954471,Meet Wise Meat (Neck Road),"1610 Gravesend Neck Rd, Brooklyn, NY 11229, USA",Initial,2026-02-09T12:47:38.000,Failed for Other R
4.4,40.828214,-73.916716,Fast Seafood Market,"976 Morris Ave, Bronx, NY 10456, USA",Compliance,2026-02-09T12:47:46.000,Failed for Other R
N/A,40.792674,-73.971572,ביליס הוט דוג,"698 Amsterdam Ave, New York, NY 10025, USA",Initial,2026-02-09T12:52:00.000,Rat Activity
4.9,40.723552,-73.988811,"Cafe La Fe, coffee shop and bubble tea.","70 E 1st St, New York, NY 10003, USA",Initial,2026-02-09T13:10:39.000,Rat Activity
4.9,40.723552,-73.988811,"Cafe La Fe, coffee shop and bubble tea.","70 E 1st St, New York, NY 10003, USA",Initial,2026-02-09T13:10:39.000,Rat Activity
4.1,40.830011,-73.91858,Mamasita's food inc,"212 E 165th St, Bronx, NY 10456, USA",Compliance,2026-02-09T14:18:07.000,Failed for Rat Act
4.3,40.705083,-73.920208,Mesa Azteca,"91 Wyckoff Ave, Brooklyn, NY 11237, USA",Compliance,2026-02-09T14:26:00.000,Rat Activity
3.6,40.830161,-73.918938,Happy Garden,"208 E 165th St, Bronx, NY 10456, USA",Compliance,2026-02-09T14:26:07.000,Rat Activity
5,40.715324,-73.998544,Jens Noodle House,"42 C Mott St, New York, NY 10013, USA",Initial,2026-02-10T13:35:11.000,Failed for Other R
4.1,40.721054,-73.980805,C Lounge,"14 Loisaida Ave, New York, NY 10009, USA",Initial,2026-02-10T14:00:08.000,Rat Activity
4.1,40.721054,-73.980805,C Lounge,"14 Loisaida Ave, New York, NY 10009, USA",Initial,2026-02-10T14:00:08.000,Rat Activity
N/A,40.76237,-73.959146,WestMunster Ventures LLC,"406 E 64th St, New York, NY 10065, USA",Initial,2026-02-10T14:25:09.000,Failed for Rat Act
N/A,40.76237,-73.959146,WestMunster Ventures LLC,"406 E 64th St, New York, NY 10065, USA",Initial,2026-02-10T14:25:09.000,Failed for Rat Act
5,40.744408,-73.992902,Club 5W,"120 W 25th St, New York, NY 10001, USA",Compliance,2026-02-10T14:31:22.000,Failed for Other R
3.8,40.838928,-73.863551,A Kandola Inc,"1534 White Plains Rd, Bronx, NY 10462, USA",Initial,2026-02-10T14:35:11.000,Failed for Other R
4.4,40.765392,-73.965559,Barbaresco,"843 Lexington Ave #1, New York, NY 10065, USA",Compliance,2026-02-10T15:02:09.000,Failed for Rat Act
4.4,40.765392,-73.965559,Barbaresco,"843 Lexington Ave #1, New York, NY 10065, USA",Initial,2026-02-10T15:30:09.000,Failed for Other R
4.6,40.677885,-73.985978,Café Mars,"272 3rd Ave, Brooklyn, NY 11215, USA",Initial,2026-02-11T08:41:49.000,Rat Activity
4.3,40.642588,-73.957183,Golden Blue Bar & Restaurant,"2172 Clarendon Rd, Brooklyn, NY 11226, USA",Initial,2026-02-11T08:57:26.000,Rat Activity
