formattedAddress,location,rating,displayName,latitude,longitude,address,inspection_type,inspection_date
"1534 St Nicholas Ave, New York, NY 10033, USA","{'latitude': 40.8527801, 'longitude': -73.93094839999999}",4.1,"{'text': 'JDL Restaurant', 'languageCode': 'en'}",40.852846128948,-73.931134848875,1534 St Nicholas Avenue,Treatments,2026-01-14T09:20:15.000
"1534 St Nicholas Ave, New York, NY 10033, USA","{'latitude': 40.8527801, 'longitude': -73.93094839999999}",4.3,"{'text': 'Paladar & Grill', 'languageCode': 'en'}",40.852846128948,-73.931134848875,1534 St Nicholas Avenue,Treatments,2026-01-14T09:20:15.000
"637 Wilson Ave, Brooklyn, NY 11207, USA","{'latitude': 40.689631399999996, 'longitude': -73.9058336}",4.1,"{'text': 'Wilson Live', 'languageCode': 'en'}",40.689471374417,-73.905972864087,637 Wilson Avenue,Treatments,2026-01-14T09:27:40.000
"645 Lenox Ave, New York, NY 10037, USA","{'latitude': 40.818839, 'longitude': -73.93773089999999}",4.6,"{'text': 'Fresh Catch NYC', 'languageCode': 'en'}",40.818718945793,-73.937500134016,645 Lenox Avenue,Initial,2026-01-14T09:36:00.000
"736 Nostrand Ave, Brooklyn, NY 11216, USA","{'latitude': 40.6735335, 'longitude': -73.95029819999999}",4.2,"{'text': 'El Sabroso Latino', 'languageCode': 'en'}",40.673551956215,-73.950160550133,736 Nostrand Avenue,Stoppage,2026-01-14T10:16:00.000
"736 Nostrand Ave, Brooklyn, NY 11216, USA","{'latitude': 40.67355, 'longitude': -73.9503943}",4.4,"{'text': 'J C Mar', 'languageCode': 'en'}",40.673551956215,-73.950160550133,736 Nostrand Avenue,Stoppage,2026-01-14T10:16:00.000
"647 4th Ave, Brooklyn, NY 11232, USA","{'latitude': 40.663379, 'longitude': -73.994689}",4.5,"{'text': 'Brothers Pizza', 'languageCode': 'en'}",40.663519535996,-73.994823968135,647 4 Avenue,Initial,2026-01-14T10:45:21.000
"632 E 186th St, Bronx, NY 10458, USA","{'latitude': 40.8540506, 'longitude': -73.88704609999999}",4.5,"{'text': 'Cakor', 'languageCode': 'en'}",40.854125884642,-73.886949204029,632 East  186 Street,Initial,2026-01-14T11:05:00.000
"227 E 116th St, New York, NY 10029, USA","{'latitude': 40.7976257, 'longitude': -73.9387605}",4.1,"{'text': 'Fine Food Cuisine', 'languageCode': 'en'}",40.797467113357,-73.938874573892,227 East  116 Street,Compliance,2026-01-14T11:15:33.000
"651 Flatbush Ave, Brooklyn, NY 11225, USA","{'latitude': 40.6575772, 'longitude': -73.9600679}",3.6,"{'text': 'Hai Sun', 'languageCode': 'en'}",40.657498963025,-73.960293051012,651 Flatbush Avenue,Compliance,2026-01-14T11:42:24.000
"125 W 142nd St, New York, NY 10030, USA","{'latitude': 40.81907770000001, 'longitude': -73.9384091}",3.7,"{'text': 'Cakedominicano.com', 'languageCode': 'en'}",40.818870429388,-73.938468255557,125 West 142 Street,Initial,2026-01-14T11:44:00.000
