rating,latitude,longitude,restaurant_name,address,inspection_type,inspection_date,result
N/A,40.824324,-73.945424,Zeidy,"W 145th St, New York, NY 10031, USA",Treatments,2026-02-17T09:10:32.000,Bait applied
4.7,40.694533,-73.948884,Falkowitz Cakes And Desserts,"597 Marcy Ave, Brooklyn, NY 11206, USA",Initial,2026-02-17T09:29:06.000,Failed for Other R
3.8,40.826171,-73.94356,New Golden Empire,"757 St Nicholas Ave, New York, NY 10031, USA",Treatments,2026-02-17T09:33:01.000,Bait applied
4.4,40.753012,-73.969664,2nd ave Gourmet Deli,"884 2nd Ave, New York, NY 10017, USA",Stoppage,2026-02-17T09:34:00.000,Stoppage done
4.1,40.694008,-73.949236,U Like,"602 Marcy Ave, Brooklyn, NY 11206, USA",Initial,2026-02-17T09:35:31.000,Rat Activity
4.9,40.70188,-73.92411,Don Fidel's Nieve de Garrafa - Street Mexican Ice Cream,"282 Knickerbocker Ave, Brooklyn, NY 11237, USA",Treatments,2026-02-17T09:42:50.000,Bait applied
4.4,40.701745,-73.923291,Il Bel Paese Pizzeria & Trattoria,"305 Knickerbocker Ave, Brooklyn, NY 11237, USA",Treatments,2026-02-17T10:00:28.000,Bait applied
4,40.84819,-73.938017,Tu Cachapa 🇻🇪,"4195 Broadway, New York, NY 10033, USA",Treatments,2026-02-17T10:05:58.000,Bait applied
N/A,40.68427,-73.956521,Laurie's Coffee Shop,"422 Franklin Ave, Brooklyn, NY 11238, USA",Initial,2026-02-17T10:22:27.000,Rat Activity
4.2,40.668003,-73.931333,Cinnabon,"294 Utica Ave, Brooklyn, NY 11213, USA",Initial,2026-02-17T10:30:09.000,Failed for Other R
4.2,40.668003,-73.931333,Cinnabon,"294 Utica Ave, Brooklyn, NY 11213, USA",Initial,2026-02-17T10:30:09.000,Failed for Other R
4.6,40.724503,-73.980209,Sake Bar Satsko,"between Avenue B and C, 202 E 7th St, New York, NY 10009, USA",Treatments,2026-02-17T10:40:50.000,Bait applied
4.1,40.70355,-73.942894,Mothers Seafood & More,"59 Graham Ave, Brooklyn, NY 11206, USA",Treatments,2026-02-17T11:00:29.000,Bait applied
4.2,40.732356,-73.984392,The Halal Guys,"307 E 14th St, New York, NY 10003, USA",Initial,2026-02-17T11:17:02.000,Rat Activity
4.5,40.728055,-73.981252,11th St. Bar,"510 E 11th St, New York, NY 10009, USA",Initial,2026-02-17T11:22:04.000,Failed for Other R
4.5,40.727889,-73.981071,High Demand Social Club,"516 E 11th St, New York, NY 10009, USA",Initial,2026-02-17T11:27:44.000,Failed for Other R
4.4,40.696992,-73.933678,Little Mo,"1158 Myrtle Ave, Brooklyn, NY 11221, USA",Compliance,2026-02-17T11:32:07.000,Rat Activity
4.8,40.842095,-73.924665,Guerrero’s Pizzeria,"1381 Ogden Ave, Bronx, NY 10452, USA",Compliance,2026-02-17T11:39:26.000,Failed for Rat Act
4.6,40.856533,-73.907386,Grand Express Deli Grocery,"Bronx, NY 10453, USA",Initial,2026-02-17T11:41:21.000,Failed for Other R
4.9,40.722734,-73.984679,COSMIC CAT COFFEE AND ESPRESSO,"170E E 2nd St, New York, NY 10009, USA",Treatments,2026-02-17T11:42:50.000,Bait applied
3.8,40.67765,-73.955177,Sushi Tatsu,"609 Franklin Ave, Brooklyn, NY 11238, USA",Initial,2026-02-17T11:45:44.000,Rat Activity
4.8,40.842095,-73.924665,Guerrero’s Pizzeria,"1381 Ogden Ave, Bronx, NY 10452, USA",Compliance,2026-02-17T11:49:26.000,Failed for Rat Act
2.1,40.729133,-73.78091,Breeza Cafe Restaurant,"188-02 Union Tpke, Hollis, NY 11423, USA",Initial,2026-02-17T11:50:17.000,Failed for Other R
2.1,40.729133,-73.78091,Breeza Cafe Restaurant,"188-02 Union Tpke, Hollis, NY 11423, USA",Initial,2026-02-17T11:50:17.000,Failed for Other R
4.7,40.83849,-73.942182,Agave & Maiz,"3915 Broadway, New York, NY 10032, USA",Compliance,2026-02-17T11:50:40.000,Rat Activity
4.7,40.83849,-73.942182,Agave & Maiz,"3915 Broadway, New York, NY 10032, USA",Compliance,2026-02-17T11:50:40.000,Rat Activity
4.1,40.803771,-73.953441,M&D Cafe,"215 W 116th St, New York, NY 10026, USA",Compliance,2026-02-17T11:56:00.000,Rat Activity
3.6,40.802958,-73.95305,Empire 3,"1902 Adam Clayton Powell Jr Blvd, New York, NY 10026, USA",Compliance,2026-02-17T12:03:00.000,Rat Activity
4.1,40.760746,-73.962257,Primal Cut Steakhouse,"333 E 60th St, New York, NY 10022, USA",Initial,2026-02-17T12:08:00.000,Failed for Other R
4.1,40.760746,-73.962257,Primal Cut Steakhouse,"333 E 60th St, New York, NY 10022, USA",Initial,2026-02-17T12:08:00.000,Failed for Other R
N/A,40.731449,-73.991946,One Part Food,"777 Broadway, New York, NY 10003, USA",Initial,2026-02-17T12:10:19.000,Rat Activity
4.1,40.767428,-73.911783,Farid Grill,"25-15 Steinway St, Astoria, NY 11103, USA",Initial,2026-02-17T12:11:00.000,Failed for Rat Act
3.9,40.6953,-73.843205,Hong Kong,"102-59 Jamaica Ave, Richmond Hill, NY 11418, USA",Initial,2026-02-17T12:20:13.000,Failed for Other R
N/A,40.784612,-73.947048,Gó Deli.Grill,"1869B 2nd Ave, New York, NY 10029, USA",Initial,2026-02-17T12:28:39.000,Rat Activity
3.3,40.848344,-73.938039,Dunkin',"4199 Broadway, New York, NY 10033, USA",Compliance,2026-02-17T12:41:40.000,Rat Activity
4,40.803358,-73.95465,Joe Tuna,"233 W 115th St, New York, NY 10026, USA",Compliance,2026-02-17T12:50:44.000,Failed for Rat Act
5,40.698837,-73.916822,La Huequita El autentico manabita,"1450 Myrtle Ave, Brooklyn, NY 11237, USA",Treatments,2026-02-17T12:55:35.000,Bait applied
5,40.698837,-73.916822,La Huequita El autentico manabita,"1450 Myrtle Ave, Brooklyn, NY 11237, USA",Treatments,2026-02-17T12:55:35.000,Bait applied
5,40.698837,-73.916822,La Huequita El autentico manabita,"1450 Myrtle Ave, Brooklyn, NY 11237, USA",Treatments,2026-02-17T12:55:35.000,Bait applied
3.8,40.6803,-73.949832,Hunter's Spice Grill,"1274 Fulton St, Brooklyn, NY 11216, USA",Compliance,2026-02-17T13:28:39.000,Rat Activity
3.8,40.6803,-73.949832,Hunter's Spice Grill,"1274 Fulton St, Brooklyn, NY 11216, USA",Compliance,2026-02-17T13:28:39.000,Rat Activity
3.9,40.804203,-73.955295,Tex's Chicken & Burgers,"2144 Frederick Douglass Blvd, New York, NY 10026, USA",Compliance,2026-02-17T13:30:44.000,Rat Activity
4,40.759456,-73.97388,Blake & Todd,"52 E 53rd St, New York, NY 10022, USA",Initial,2026-02-17T14:28:52.000,Rat Activity
3.9,40.680591,-73.928754,Stuyvesant Mini Market,"360 Malcolm X Blvd, Brooklyn, NY 11233, USA",Initial,2026-02-18T08:47:00.000,Failed for Other R
N/A,40.707174,-73.789233,Mama's Chicken Corp.,"170-14 Jamaica Ave, Jamaica, NY 11432, USA",Compliance,2026-02-18T09:05:15.000,Rat Activity
4.7,40.679427,-73.938628,Den of Splendor,"42 Albany Ave, Brooklyn, NY 11213, USA",Initial,2026-02-18T09:16:00.000,Rat Activity
4.7,40.702601,-73.933617,Chiangmai Diner & Bar,"942 Flushing Ave, Brooklyn, NY 11206, USA",Initial,2026-02-18T09:21:18.000,Failed for Other R
4.6,40.847218,-73.938372,Manolo Tapas,"4165 Broadway, New York, NY 10033, USA",Treatments,2026-02-18T09:22:15.000,Bait applied
4.5,40.746409,-73.917857,Claret Wine Bar,"46-02 Skillman Ave, Sunnyside, NY 11104, USA",Initial,2026-02-18T09:41:00.000,Rat Activity
N/A,40.702006,-73.929962,sushi,"259 Melrose St, Brooklyn, NY 11206, USA",Initial,2026-02-18T09:49:40.000,Rat Activity
N/A,40.702006,-73.929962,sushi,"259 Melrose St, Brooklyn, NY 11206, USA",Initial,2026-02-18T09:49:40.000,Rat Activity
