rating,latitude,longitude,restaurant_name,address,inspection_type,inspection_date,result
N/A,40.660594,-73.930106,E & D Brooklyn Kitchen,"884 Rutland Rd, Brooklyn, NY 11203, USA",Initial,2026-02-03T11:41:10.000,Failed for Other R
N/A,40.660594,-73.930106,E & D Brooklyn Kitchen,"884 Rutland Rd, Brooklyn, NY 11203, USA",Initial,2026-02-03T11:41:10.000,Failed for Other R
4.7,40.805038,-73.955184,Levain Bakery,"2167 Frederick Douglass Blvd, New York, NY 10026, USA",Compliance,2026-02-03T11:42:19.000,Rat Activity
4.3,40.772299,-73.955236,Anand,"304 E 78th St, New York, NY 10075, USA",Initial,2026-02-03T12:04:28.000,Rat Activity
4.8,40.855935,-73.905684,Morena Restaurant,"Bronx, NY 10453, USA",Initial,2026-02-03T12:16:57.000,Failed for Other R
5,40.698837,-73.916822,La Huequita El autentico manabita,"1450 Myrtle Ave, Brooklyn, NY 11237, USA",Compliance,2026-02-03T12:18:49.000,Rat Activity
5,40.698837,-73.916822,La Huequita El autentico manabita,"1450 Myrtle Ave, Brooklyn, NY 11237, USA",Compliance,2026-02-03T12:18:49.000,Rat Activity
5,40.698837,-73.916822,La Huequita El autentico manabita,"1450 Myrtle Ave, Brooklyn, NY 11237, USA",Compliance,2026-02-03T12:18:49.000,Rat Activity
4.3,40.772299,-73.955236,Anand,"304 E 78th St, New York, NY 10075, USA",Initial,2026-02-03T12:25:28.000,Failed for Other R
5,40.698837,-73.916822,La Huequita El autentico manabita,"1450 Myrtle Ave, Brooklyn, NY 11237, USA",Compliance,2026-02-03T12:30:57.000,Rat Activity
5,40.698837,-73.916822,La Huequita El autentico manabita,"1450 Myrtle Ave, Brooklyn, NY 11237, USA",Compliance,2026-02-03T12:30:57.000,Rat Activity
5,40.698837,-73.916822,La Huequita El autentico manabita,"1450 Myrtle Ave, Brooklyn, NY 11237, USA",Compliance,2026-02-03T12:30:57.000,Rat Activity
4.9,40.772286,-73.955049,Ed’s Elbow Room,"308 E 78th St, New York, NY 10075, USA",Initial,2026-02-03T12:35:28.000,Rat Activity
4.9,40.772286,-73.955049,Ed’s Elbow Room,"308 E 78th St, New York, NY 10075, USA",Initial,2026-02-03T12:35:28.000,Rat Activity
4.5,40.683893,-73.929437,Trad Room,"266 Malcolm X Blvd, Brooklyn, NY 11233, USA",Initial,2026-02-03T12:42:00.000,Rat Activity
4.9,40.772286,-73.955049,Ed’s Elbow Room,"308 E 78th St, New York, NY 10075, USA",Initial,2026-02-03T12:44:28.000,Rat Activity
4.9,40.772286,-73.955049,Ed’s Elbow Room,"308 E 78th St, New York, NY 10075, USA",Initial,2026-02-03T12:44:28.000,Rat Activity
4.9,40.772286,-73.955049,Ed’s Elbow Room,"308 E 78th St, New York, NY 10075, USA",Initial,2026-02-03T12:54:28.000,Rat Activity
4.9,40.772286,-73.955049,Ed’s Elbow Room,"308 E 78th St, New York, NY 10075, USA",Initial,2026-02-03T12:54:28.000,Rat Activity
4.9,40.772286,-73.955049,Ed’s Elbow Room,"308 E 78th St, New York, NY 10075, USA",Initial,2026-02-03T13:04:28.000,Failed for Other R
4.9,40.772286,-73.955049,Ed’s Elbow Room,"308 E 78th St, New York, NY 10075, USA",Initial,2026-02-03T13:04:28.000,Failed for Other R
5,40.68117,-73.928091,Upstairs at Eric's,"218 Bainbridge St., Brooklyn, NY 11233, USA",Initial,2026-02-03T13:08:00.000,Rat Activity
3.6,40.81387,-73.956159,Jesus Taco,"1346 Amsterdam Ave, New York, NY 10027, USA",Treatments,2026-02-03T13:25:04.000,Bait applied
3.6,40.81387,-73.956159,Jesus Taco,"1346 Amsterdam Ave, New York, NY 10027, USA",Treatments,2026-02-03T13:25:04.000,Bait applied
4.9,40.772286,-73.955049,Ed’s Elbow Room,"308 E 78th St, New York, NY 10075, USA",Initial,2026-02-03T14:07:28.000,Failed for Rat Act
4.9,40.772286,-73.955049,Ed’s Elbow Room,"308 E 78th St, New York, NY 10075, USA",Initial,2026-02-03T14:07:28.000,Failed for Rat Act
4.5,40.772298,-73.954946,Orwashers Bakery,"308 E 78th St, New York, NY 10075, USA",Initial,2026-02-03T14:18:28.000,Rat Activity
4.6,40.772097,-73.95445,Xi'an Famous Foods 西安名吃 | Upper East Side 78th&2nd,"328 E 78th St, New York, NY 10075, USA",Initial,2026-02-03T14:28:28.000,Rat Activity
4.6,40.772097,-73.95445,Xi'an Famous Foods 西安名吃 | Upper East Side 78th&2nd,"328 E 78th St, New York, NY 10075, USA",Initial,2026-02-03T14:38:28.000,Rat Activity
4.6,40.772097,-73.95445,Xi'an Famous Foods 西安名吃 | Upper East Side 78th&2nd,"328 E 78th St, New York, NY 10075, USA",Initial,2026-02-03T14:49:28.000,Rat Activity
5,40.786655,-73.975552,Jacob’s Pickles,"509 Amsterdam Ave, New York, NY 10024, USA",Compliance,2026-02-03T15:15:05.000,Rat Activity
4,40.816393,-73.899575,Ambassador Food Services,"730 Kelly St, Bronx, NY 10455, USA",Initial,2026-02-04T09:00:39.000,Failed for Other R
4.4,40.789352,-73.974012,Bodrum,"584 Amsterdam Ave, New York, NY 10024, USA",Initial,2026-02-04T09:05:22.000,Rat Activity
5,40.849941,-73.933674,TACOS NEZA,"600 W 182nd St, New York, NY 10033, USA",Compliance,2026-02-04T09:35:00.000,Rat Activity
4.9,40.722734,-73.984679,COSMIC CAT COFFEE AND ESPRESSO,"170E E 2nd St, New York, NY 10009, USA",Compliance,2026-02-04T09:37:59.000,Rat Activity
4.5,40.793245,-73.940233,La Nostra Pizzeria,"2146 2nd Ave #3207, New York, NY 10029, USA",Treatments,2026-02-04T09:56:00.000,Bait applied
4.8,40.673455,-73.953834,Marche Rue Dix,"1453 Bedford Ave, Brooklyn, NY 11216, USA",Initial,2026-02-04T09:57:59.000,Failed for Rat Act
4.4,40.767154,-73.918042,Off The Hook Raw Bar & Grill,"28-08 34th St, Astoria, NY 11103, USA",Compliance,2026-02-04T10:07:00.000,Rat Activity
4.4,40.81435,-73.944053,Yatenga,"3023, 2269 Adam Clayton Powell Jr Blvd #1, New York, NY 10030, USA",Stoppage,2026-02-04T10:15:00.000,Stoppage done
3,40.752574,-73.973444,Dunkin',"712 3rd Ave, New York, NY 10017, USA",Treatments,2026-02-04T10:15:14.000,Bait applied
3,40.752574,-73.973444,Dunkin',"712 3rd Ave, New York, NY 10017, USA",Treatments,2026-02-04T10:15:14.000,Bait applied
4.1,40.855646,-73.933465,Jordan's Snack Bar & Burger,"4419A Broadway, New York, NY 10040, USA",Compliance,2026-02-04T10:44:00.000,Rat Activity
4.5,40.691046,-73.924854,The Broadway,"1272 Broadway, Brooklyn, NY 11221, USA",Compliance,2026-02-04T10:47:45.000,Rat Activity
5,40.849372,-73.90022,Bani Coffee,"1965 Webster Ave, Bronx, NY 10457, USA",Treatments,2026-02-04T10:50:42.000,Bait applied
4,40.727142,-74.003159,Croft Alley,"210 6th Ave, New York, NY 10014, USA",Initial,2026-02-04T10:56:00.000,Failed for Other R
N/A,40.797372,-73.969483,Chinese Empire,"2642 Broadway, New York, NY 10025, USA",Initial,2026-02-04T11:00:33.000,Rat Activity
N/A,40.797372,-73.969483,Chinese Empire,"2642 Broadway, New York, NY 10025, USA",Initial,2026-02-04T11:00:33.000,Rat Activity
N/A,40.729396,-73.985359,Buddha Matcha,"512 E 12th St, New York, NY 10009, USA",Compliance,2026-02-04T11:03:00.000,Rat Activity
4.5,40.72843,-73.978899,B Cup Cafe & Eatery,"204 Avenue B, New York, NY 10009, USA",Stoppage,2026-02-04T11:18:00.000,Stoppage done
5,40.728896,-73.980451,The Community Boutique & Cafe,"515 E 12th St, New York, NY 10009, USA",Stoppage,2026-02-04T11:20:00.000,Stoppage done
5,40.728896,-73.980451,The Community Boutique & Cafe,"515 E 12th St, New York, NY 10009, USA",Stoppage,2026-02-04T11:20:00.000,Stoppage done
N/A,40.753889,-73.965847,TFS Burger Works,"401 E 50th St, New York, NY 10022, USA",Treatments,2026-02-04T11:30:14.000,Bait applied
