inspection_type,job_ticket_or_work_order_id,job_id,job_progress,bbl,boro_code,block,lot,house_number,street_name,zip_code,latitude,longitude,borough,inspection_date,result,approved_date,location,community_board,council_district,census_tract,bin,nta,x_coord,y_coord
Initial,14247394,PC8672177,1,2024290012,2,02429,0012,1138,TELLER AVENUE,10456,40.8306752136,-73.912533540935,Bronx,2026-02-24T08:00:25.000,Rat Activity,2026-02-25T09:56:11.000,"{'latitude': '40.8306752136', 'longitude': '-73.912533540935', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,175,2124470,Concourse-Concourse Village,,
Initial,14247395,PC8672221,1,2029230001,2,02923,0001,1810,BATHGATE AVENUE,10457,40.844656122975,-73.898242082957,Bronx,2026-02-24T10:06:00.000,Failed for Other R,2026-02-25T09:55:30.000,"{'latitude': '40.844656122975', 'longitude': '-73.898242082957', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,395,2009586,Tremont,,
Compliance,14247397,PC8651742,2,2031820028,2,03182,0028,48,EAST 183 STREET,10453,40.858331466952,-73.902653166966,Bronx,2026-02-24T11:02:18.000,Rat Activity,2026-02-25T12:58:44.000,"{'latitude': '40.858331466952', 'longitude': '-73.902653166966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5,14,239,2013991,Fordham Heights,,
Compliance,14247398,PC8652395,2,2031590003,2,03159,0003,2306,GRAND CONCOURSE,10458,40.857711423296,-73.899769271139,Bronx,2026-02-24T11:15:36.000,Rat Activity,2026-02-25T13:00:45.000,"{'latitude': '40.857711423296', 'longitude': '-73.899769271139', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5,15,38301,2013734,Fordham Heights,,
Compliance,14247400,PC8652122,2,2031660069,2,03166,0069,120,EAST FORDHAM ROAD,10468,40.862299360963,-73.898341518205,Bronx,2026-02-24T11:45:08.000,Rat Activity,2026-02-25T13:27:58.000,"{'latitude': '40.862299360963', 'longitude': '-73.898341518205', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5,14,23703,2013807,Fordham Heights,,
Compliance,14247402,PC8655691,2,2031670055,2,03167,0055,2565,GRAND CONCOURSE,10468,40.863779541887,-73.896133866513,Bronx,2026-02-24T12:05:46.000,Rat Activity,2026-02-25T14:00:37.000,"{'latitude': '40.863779541887', 'longitude': '-73.896133866513', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,401,2013820,University Heights (North)-Fordham,,
Compliance,14247403,PC8655216,2,2031670062,2,03167,0062,2555,GRAND CONCOURSE,10468,40.863612227826,-73.896260666734,Bronx,2026-02-24T12:13:03.000,Rat Activity,2026-02-25T14:02:29.000,"{'latitude': '40.863612227826', 'longitude': '-73.896260666734', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,401,2013822,University Heights (North)-Fordham,,
Initial,14247406,PC8663131,1,1017350065,1,01735,0065,62,WEST 138 STREET,10037,40.815524489383,-73.938287111112,Manhattan,2026-02-24T12:14:45.000,Rat Activity,2026-02-25T10:15:19.000,"{'latitude': '40.815524489383', 'longitude': '-73.938287111112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,212,1000000,Harlem (North),,
Compliance,14247430,PC8618293,2,1020390001,1,02039,0001,2890,FREDERICK DOUGLAS BOULEVARD,10039,40.828103517606,-73.938051366693,Manhattan,2026-02-24T12:43:00.000,Rat Activity,2026-02-25T11:01:46.000,"{'latitude': '40.828103517606', 'longitude': '-73.938051366693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,236,1060617,Harlem (North),1001394,240986
Initial,14247434,PC8663657,1,1017350034,1,01735,0034,2252,5 AVENUE,10037,40.814132001631,-73.936630192476,Manhattan,2026-02-24T12:45:45.000,Rat Activity,2026-02-27T16:35:07.000,"{'latitude': '40.814132001631', 'longitude': '-73.936630192476', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,212,1053918,Harlem (North),,
Initial,14247416,PC8662620,1,1017350033,1,01735,0033,3,WEST 137 STREET,10037,40.814261318087,-73.937200871609,Manhattan,2026-02-24T12:50:45.000,Rat Activity,2026-02-25T10:31:33.000,"{'latitude': '40.814261318087', 'longitude': '-73.937200871609', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,212,1053917,Harlem (North),,
