inspection_type,job_ticket_or_work_order_id,job_id,job_progress,bbl,boro_code,block,lot,house_number,street_name,zip_code,latitude,longitude,borough,inspection_date,result,approved_date,location,community_board,council_district,census_tract,bin,nta,x_coord,y_coord
Initial,14234752,PC8661958,1,4004700200,4,00470,0200,40-01,12 STREET,11101,40.756004151647,-73.942854346967,Queens,2026-01-29T08:00:35.000,Failed for Other R,2026-01-30T10:30:35.000,"{'latitude': '40.756004151647', 'longitude': '-73.942854346967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,26,25,4441787,Queensbridge-Ravenswood-Dutch Kills,,
Initial,14235099,PC8662006,1,1018360001,1,01836,0001,825,COLUMBUS AVENUE,10025,40.795694093974,-73.965436382921,Manhattan,2026-01-29T08:00:51.000,Rat Activity and F,2026-02-02T11:10:51.000,"{'latitude': '40.795694093974', 'longitude': '-73.965436382921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,7,189,1081298,Upper West Side-Manhattan Valley,,
Initial,14234691,PC8659982,1,3016490037,3,01649,0037,640,PUTNAM AVENUE,11221,40.685591942139,-73.936352588778,Brooklyn,2026-01-29T09:04:00.000,Failed for Other R,2026-01-30T09:26:43.000,"{'latitude': '40.685591942139', 'longitude': '-73.936352588778', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,275,3045370,Bedford-Stuyvesant (East),,
Initial,14234701,PC8659789,1,3016490047,3,01649,0047,316,LEWIS AVENUE,11221,40.685119357331,-73.9354876851,Brooklyn,2026-01-29T09:28:00.000,Rat Activity,2026-01-30T09:33:53.000,"{'latitude': '40.685119357331', 'longitude': '-73.9354876851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,275,3045380,Bedford-Stuyvesant (East),,
Initial,14234524,PC8659919,1,3016440039,3,01644,0039,560,MADISON STREET,11221,40.686363123247,-73.93617156387,Brooklyn,2026-01-29T09:37:00.000,Rat Activity,2026-02-02T12:48:04.000,"{'latitude': '40.686363123247', 'longitude': '-73.93617156387', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,277,3045086,Bedford-Stuyvesant (East),,
Initial,14234753,PC8662129,1,4004700100,4,00470,0100,40-01,10 STREET,11101,40.756836560249,-73.944373250158,Queens,2026-01-29T09:42:08.000,Failed for Other R,2026-01-30T10:28:43.000,"{'latitude': '40.756836560249', 'longitude': '-73.944373250158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,26,25,4433379,Queensbridge-Ravenswood-Dutch Kills,,
Compliance,14234795,PC8645452,2,3036110055,3,03611,0055,926,THOMAS S BOYLAND STREET,11212,40.657858016138,-73.910645353888,Brooklyn,2026-01-29T09:44:30.000,Rat Activity,2026-01-30T12:30:48.000,"{'latitude': '40.657858016138', 'longitude': '-73.910645353888', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16,41,896,3082537,Brownsville,1009042,178967
Initial,14234946,PC8659829,1,1014520005,1,01452,0005,307,EAST 77 STREET,10075,40.771830557198,-73.955552807522,Manhattan,2026-01-29T09:48:59.000,Failed for Other R,2026-02-02T07:59:11.000,"{'latitude': '40.771830557198', 'longitude': '-73.955552807522', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,5,134,1045201,Upper East Side-Lenox Hill-Roosevelt Island,,
Initial,14234540,PC8659764,1,3015530034,3,01553,0034,1409,HERKIMER STREET,11233,40.677296164786,-73.906729167984,Brooklyn,2026-01-29T09:55:41.000,Rat Activity,2026-01-30T12:21:46.000,"{'latitude': '40.677296164786', 'longitude': '-73.906729167984', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16,37,367,3042291,Ocean Hill,1010121,186050
Compliance,14234755,PC8639787,2,1003040033,1,00304,0033,79,CHRYSTIE STREET,10002,40.717303342478,-73.99426423578,Manhattan,2026-01-29T09:56:02.000,Rat Activity,2026-01-29T20:48:53.000,"{'latitude': '40.717303342478', 'longitude': '-73.99426423578', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,16,1003943,Chinatown-Two Bridges,,
