job_id,inspection_date,inspection_type,house_number,street_name,zip_code,borough,result,letter_type,observations,bbl,boro_code,block,lot,latitude,longitude,location,community_board,council_district,census_tract,bin,nta,x_coord,y_coord
PC8586491,2026-08-31T09:40:00.000,Compliance,1104,CLAY AVENUE,10456,Bronx,Failed for Rat Activity and Other Reason,Summons Issued,"Droppings, Burrows, Runways, Garbage, Harborage",2024260003,2,2426,3,40.829755359464,-73.912054156514,"{'latitude': '40.829755359464', 'longitude': '-73.912054156514', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,143,2002067,Concourse-Concourse Village,1008588,241594
PC8726603,2026-08-31T09:40:00.000,Treatments,204,WEST 23 STREET,10011,Manhattan,Bait applied,,,1007720047,1,772,47,40.744298187463,-73.996156557509,"{'latitude': '40.744298187463', 'longitude': '-73.996156557509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,3,91,1014127,Chelsea-Hudson Yards,,
PC8746901,2026-08-31T09:40:21.000,Treatments,412,EAST   83 STREET,10028,Manhattan,Bait applied,,,1015620040,1,1562,40,40.774691172622,-73.950275920878,"{'latitude': '40.774691172622', 'longitude': '-73.950275920878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,5,13604,1050438,Upper East Side-Yorkville,998022,221524
PC8605178,2026-08-31T09:43:00.000,Treatments,1015,GERARD AVENUE,10452,Bronx,Bait applied,,,2024860030,2,2486,30,40.830767813144,-73.923030856826,"{'latitude': '40.830767813144', 'longitude': '-73.923030856826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,195,2002994,Concourse-Concourse Village,,
PC8757642,2026-08-31T09:44:06.000,Compliance,89,HART STREET,11206,Brooklyn,Failed for Rat Activity,Summons Issued,Burrows,3017670068,3,1767,68,40.693272169888,-73.94792079219,"{'latitude': '40.693272169888', 'longitude': '-73.94792079219', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,261,3049144,Bedford-Stuyvesant (West),,
PC8722636,2026-08-31T09:45:46.000,Treatments,518,BAY RIDGE AVENUE,11220,Brooklyn,Bait applied,,,3058740017,3,5874,17,40.633193494345,-74.020442484454,"{'latitude': '40.633193494345', 'longitude': '-74.020442484454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,47,130,3000000,Bay Ridge,,
PC8672954,2026-08-31T09:45:52.000,Treatments,805,EAST 170 STREET,10459,Bronx,Bait applied,,,2029630098,2,2963,98,40.833155970338,-73.895520549526,"{'latitude': '40.833155970338', 'longitude': '-73.895520549526', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,17,153,2010240,Crotona Park East,,
PC8721326,2026-08-31T09:45:57.000,Compliance,3336,3 AVENUE,10456,Bronx,Failed for Other Reason,Summons Issued,"Garbage, Harborage",2026070017,2,2607,17,40.826436331426,-73.907744232084,"{'latitude': '40.826436331426', 'longitude': '-73.907744232084', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,17,18502,2000000,Morrisania,,
PC8744787,2026-08-31T09:46:03.000,Treatments,263,STOCKHOLM STREET,11237,Brooklyn,Bait applied,,,3032470039,3,3247,39,40.701740591107,-73.920590893956,"{'latitude': '40.701740591107', 'longitude': '-73.920590893956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,37,429,3073885,Bushwick (West),,
PC8769372,2026-08-31T09:46:52.000,Initial,1037,OGDEN AVENUE,10452,Bronx,Failed for Rat Activity and Other Reason,COTA,"Droppings, Harborage, Animal Nuisance",2025250028,2,2525,28,40.833925253985,-73.928823641447,"{'latitude': '40.833925253985', 'longitude': '-73.928823641447', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,189,2003468,Highbridge,1003946,243109
