job_id,inspection_date,inspection_type,house_number,street_name,zip_code,borough,result,bbl,boro_code,block,lot,latitude,longitude,location,community_board,council_district,census_tract,bin,nta,letter_type,observations,x_coord,y_coord
PC8561571,2026-09-08T11:25:57.000,Treatments,757,ST NICHOLAS AVENUE,10031,Manhattan,Bait applied,1020630029,1,2063,29,40.826055917227,-73.943321498412,"{'latitude': '40.826055917227', 'longitude': '-73.943321498412', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,9,231,1061510,Hamilton Heights-Sugar Hill,,,,
PC8770723,2026-09-08T11:26:00.000,Initial,252,12 STREET,11215,Brooklyn,Failed for Rat Activity,3010280024,3,1028,24,40.667894291842,-73.988908287803,"{'latitude': '40.667894291842', 'longitude': '-73.988908287803', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,38,139,3023151,Park Slope,COTA,Droppings,987327,182611
PC8773973,2026-09-08T11:28:00.000,Initial,148,MADISON STREET,10002,Manhattan,Failed for Other Reason,1002747502,1,274,7502,40.712403859733,-73.992991341168,"{'latitude': '40.712403859733', 'longitude': '-73.992991341168', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,8,1084603,Chinatown-Two Bridges,COTA,Harborage,,
PC8770342,2026-09-08T11:29:00.000,Initial,39,WEST 126 STREET,10027,Manhattan,Failed for Rat Activity,1017240019,1,1724,19,40.807649549226,-73.943087983113,"{'latitude': '40.807649549226', 'longitude': '-73.943087983113', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,208,1053554,Harlem (North),COTA,Burrows,,
PC8623181,2026-09-08T11:30:01.000,Treatments,1793,RIVERSIDE DRIVE,10034,Manhattan,Bait applied,1022460130,1,2246,130,40.866503562347,-73.930556629193,"{'latitude': '40.866503562347', 'longitude': '-73.930556629193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,10,287,1065055,Washington Heights (North),,,,
PC8766850,2026-09-08T11:30:28.000,Initial,WEST,174TH STREET,10453,Bronx,Failed for Other Reason,,2,2876,20,,,,,,,,,,Garbage,,
PC8686757,2026-09-08T11:30:42.000,Treatments,3871,SEDGWICK AVENUE,10463,Bronx,Bait applied,2032630292,2,3263,292,40.883002010919,-73.894375067358,"{'latitude': '40.883002010919', 'longitude': '-73.894375067358', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,11,279,2016101,Kingsbridge Heights-Van Cortlandt Village,,,1013457,260999
PC8758770,2026-09-08T11:32:00.000,Treatments,1150,PACIFIC STREET,11216,Brooklyn,Bait applied,3012050019,3,1205,19,40.678085202001,-73.954036419579,"{'latitude': '40.678085202001', 'longitude': '-73.954036419579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,35,221,3029960,Crown Heights (North),,,,
PC8769947,2026-09-08T11:32:00.000,Initial,37,WEST 126 STREET,10027,Manhattan,Failed for Rat Activity,1017240020,1,1724,20,40.807630314519,-73.943044651854,"{'latitude': '40.807630314519', 'longitude': '-73.943044651854', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,208,1053555,Harlem (North),COTA,"Droppings, Runways, Gnawing",,
PC8596825,2026-09-08T11:33:58.000,Treatments,486,Convent Ave,10031,Manhattan,Bait applied,1020660021,1,2066,21,40.828531403696,-73.94277736363,"{'latitude': '40.828531403696', 'longitude': '-73.94277736363', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,23501,1061592,Hamilton Heights-Sugar Hill,,,,
PC8651474,2026-09-08T11:34:24.000,Compliance,1460,SOUTHERN BOULEVARD,10460,Bronx,Failed for Rat Activity,2029810001,2,2981,1,40.832640826639,-73.890556166417,"{'latitude': '40.832640826639', 'longitude': '-73.890556166417', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,17,157,2010568,Crotona Park East,Summons Issued,Burrows,,
