inspection_type,job_ticket_or_work_order_id,job_id,job_progress,bbl,boro_code,block,lot,house_number,street_name,zip_code,x_coord,y_coord,latitude,longitude,borough,inspection_date,result,approved_date,location,community_board,council_district,census_tract,bin,nta
Treatments,3079630,PC8707489,3,3011050049,3,1105,49,439,16 STREET,11215,989416,180059,40.660888642436,-73.981379998503,Brooklyn,2026-06-08T08:01:52.000,Bait applied,2026-06-08T13:50:57.000,"{'latitude': '40.660888642436', 'longitude': '-73.981379998503', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,39,169,3026716,Windsor Terrace-South Slope
Initial,14317223,PC8733530,1,,1,280,22,15,MARKET STREET,10002,,,40.713342653671,-73.994513473597,Manhattan,2026-06-08T08:11:57.000,Failed for Rat Activity,2026-06-09T10:05:20.000,"{'latitude': '40.713342653671', 'longitude': '-73.994513473597', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,8,,Chinatown-Two Bridges
Initial,14317118,PC8736222,1,,1,316,200,,GRAND STREET,10002,,,,,Manhattan,2026-06-08T08:20:41.000,Failed for Rat Activity and Other Reason,2026-06-09T10:34:13.000,,,,,,
Initial,14317224,PC8733636,1,1002800015,1,280,15,59,HENRY STREET,10002,,,40.71298310851,-73.994939148678,Manhattan,2026-06-08T08:21:00.000,Failed for Rat Activity,2026-06-09T10:06:34.000,"{'latitude': '40.71298310851', 'longitude': '-73.994939148678', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,8,1084612,Chinatown-Two Bridges
Initial,14317225,PC8733824,1,1002800013,1,280,13,45,HENRY STREET,10002,,,40.712936470038,-73.995480226478,Manhattan,2026-06-08T08:27:47.000,Failed for Rat Activity,2026-06-09T10:08:11.000,"{'latitude': '40.712936470038', 'longitude': '-73.995480226478', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,8,1077209,Chinatown-Two Bridges
Initial,14317089,PC8728066,1,3024560032,3,2456,32,111,SOUTH    6 STREET,11249,994102,198207,40.710696810676,-73.964463441322,Brooklyn,2026-06-08T08:28:00.000,Failed for Rat Activity and Other Reason,2026-06-09T12:50:38.000,"{'latitude': '40.710696810676', 'longitude': '-73.964463441322', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,549,3063547,Williamsburg
Initial,14317227,PC8733728,1,1002800010,1,280,10,41,HENRY STREET,10002,,,40.71292549697,-73.995635335149,Manhattan,2026-06-08T08:36:51.000,Failed for Rat Activity,2026-06-09T10:09:27.000,"{'latitude': '40.71292549697', 'longitude': '-73.995635335149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,8,1003407,Chinatown-Two Bridges
Treatments,3079688,PC8413326,17,3050620014,3,5062,14,395,OCEAN AVENUE,11226,994901,177308,40.653332837848,-73.961614577385,Brooklyn,2026-06-08T08:40:47.000,Bait applied,2026-06-09T13:52:05.000,"{'latitude': '40.653332837848', 'longitude': '-73.961614577385', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14,40,50803,3116136,Flatbush
Treatments,3079613,PC8569854,8,3008020001,3,802,1,5123,7 AVENUE,11220,982400,173068,40.64170120424,-74.006666097364,Brooklyn,2026-06-08T08:46:00.000,Bait applied,2026-06-08T13:40:39.000,"{'latitude': '40.64170120424', 'longitude': '-74.006666097364', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,43,10801,3013726,Sunset Park (Central)
Initial,14317228,PC8733568,1,1002800009,1,280,9,39,HENRY STREET,10002,,,40.712917265656,-73.995714693223,Manhattan,2026-06-08T08:46:00.000,Failed for Rat Activity,2026-06-09T10:11:04.000,"{'latitude': '40.712917265656', 'longitude': '-73.995714693223', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,8,1003406,Chinatown-Two Bridges
Initial,14316896,PC8731433,1,3012070034,3,1207,34,1316,PACIFIC STREET,11216,,,40.677508696749,-73.947413995155,Brooklyn,2026-06-08T08:47:00.000,Failed for Rat Activity,2026-06-09T08:05:44.000,"{'latitude': '40.677508696749', 'longitude': '-73.947413995155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,315,3030053,Crown Heights (North)
Initial,14317286,PC8726042,1,3058730020,3,5873,20,428,BAYRIDGE AVENUE,11220,978003,170313,40.634137312472,-74.022507228359,Brooklyn,2026-06-08T08:54:50.000,Failed for Rat Activity,2026-06-09T19:11:04.000,"{'latitude': '40.634137312472', 'longitude': '-74.022507228359', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,47,130,3145735,Bay Ridge
Initial,14317133,PC8733992,1,1004180034,1,418,34,104,FORSYTH STREET,10002,986256,201062,40.7185384032,-73.992763423228,Manhattan,2026-06-08T08:55:00.000,Failed for Rat Activity,2026-06-09T11:00:12.000,"{'latitude': '40.7185384032', 'longitude': '-73.992763423228', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,18,1005563,Lower East Side
Initial,14316900,PC8730754,1,3012070030,3,1207,30,1308,PACIFIC STREET,11216,,,40.677522542717,-73.947680771912,Brooklyn,2026-06-08T08:59:23.000,Failed for Rat Activity,2026-06-09T08:08:54.000,"{'latitude': '40.677522542717', 'longitude': '-73.947680771912', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,315,3030049,Crown Heights (North)
Treatments,3079686,PC8283872,13,3050990025,3,5099,25,1,TENNIS COURT,11226,0,0,40.648420050785,-73.962734549472,Brooklyn,2026-06-08T09:00:47.000,Bait applied,2026-06-09T13:52:06.000,,14,40,51002,3117102,Flatbush
Treatments,3079668,PC8609166,6,2033330008,2,3333,8,3042,PERRY AVENUE,10467,,,40.872341116046,-73.880004618846,Bronx,2026-06-08T09:00:52.000,Bait applied,2026-06-08T14:13:07.000,"{'latitude': '40.872341116046', 'longitude': '-73.880004618846', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,11,425,2017937,Norwood
Initial,14316744,PC8726432,1,3047800042,3,4780,42,1330,UTICA AVENUE,11203,1003905,172584,40.640351031384,-73.92917865048,Brooklyn,2026-06-08T09:09:47.000,Failed for Other Reason,2026-06-09T10:15:32.000,"{'latitude': '40.640351031384', 'longitude': '-73.92917865048', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,45,840,3106187,East Flatbush-Farragut
Treatments,3079759,PC8700100,4,4019650004,4,1965,4,58-08,WALDRON STREET,11368,,,40.739142036255,-73.8524592894,Queens,2026-06-08T09:10:03.000,Bait applied,2026-06-09T08:24:13.000,"{'latitude': '40.739142036255', 'longitude': '-73.8524592894', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,21,43701,4048316,Corona
Initial,14317092,PC8732171,1,3024290035,3,2429,35,63,SOUTH    4 STREET,11249,993810,198967,40.712783156715,-73.96551561356,Brooklyn,2026-06-08T09:14:00.000,Failed for Rat Activity,2026-06-09T12:52:04.000,"{'latitude': '40.712783156715', 'longitude': '-73.96551561356', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,551,3063243,Williamsburg
Initial,14317232,PC8733770,1,1002800005,1,280,5,31,HENRY STREET,10002,,,40.712892573783,-73.996021303353,Manhattan,2026-06-08T09:14:50.000,Failed for Rat Activity,2026-06-09T10:14:58.000,"{'latitude': '40.712892573783', 'longitude': '-73.996021303353', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,8,1003402,Chinatown-Two Bridges
Treatments,3079662,PC8671334,4,2033350095,2,3335,95,3059,BAINBRIDGE AVENUE,10467,1017477,257485,40.873342785149,-73.879854552301,Bronx,2026-06-08T09:15:06.000,Bait applied,2026-06-08T14:16:02.000,"{'latitude': '40.873342785149', 'longitude': '-73.879854552301', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,11,419,2018004,Norwood
Compliance,14317105,PC8701094,2,1017890045,1,1789,45,212,EAST 125TH STREET,10035,,,40.803462426904,-73.935293080804,Manhattan,2026-06-08T09:17:44.000,Failed for Rat Activity,2026-06-09T14:14:34.000,"{'latitude': '40.803462426904', 'longitude': '-73.935293080804', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,8,242,1091703,East Harlem (North)
Initial,14316734,PC8734103,1,3027050022,3,2705,22,61,DRIGGS AVENUE,11222,1000489,202815,40.723335246033,-73.941414122703,Brooklyn,2026-06-08T09:17:47.000,Failed for Other Reason,2026-06-09T11:28:19.000,"{'latitude': '40.723335246033', 'longitude': '-73.941414122703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,33,591,3067754,Greenpoint
Initial,14317233,PC8733612,1,1002800004,1,280,4,29,HENRY STREET,10002,,,40.71288708697,-73.996100661179,Manhattan,2026-06-08T09:18:00.000,Failed for Rat Activity,2026-06-09T10:16:01.000,"{'latitude': '40.71288708697', 'longitude': '-73.996100661179', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,8,1003401,Chinatown-Two Bridges
Initial,14316905,PC8730286,1,3012070011,3,1207,11,1272,PACIFIC STREET,11216,,,40.67758896066,-73.948884870769,Brooklyn,2026-06-08T09:18:23.000,Failed for Rat Activity,2026-06-09T08:10:11.000,"{'latitude': '40.67758896066', 'longitude': '-73.948884870769', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,315,3030043,Crown Heights (North)
Treatments,3079687,PC8622657,7,3050990068,3,5099,68,145,EAST   18 STREET,11226,994589,175269,40.647736602843,-73.962742139918,Brooklyn,2026-06-08T09:20:47.000,Bait applied,2026-06-09T13:52:07.000,"{'latitude': '40.647736602843', 'longitude': '-73.962742139918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14,40,512,3117110,Flatbush
Compliance,14316738,PC8709816,2,3027060005,3,2706,5,176,KINGSLAND AVENUE,11222,1000558,202613,40.72274773492,-73.94115849478,Brooklyn,2026-06-08T09:23:47.000,Failed for Rat Activity,2026-06-09T11:45:57.000,"{'latitude': '40.72274773492', 'longitude': '-73.94115849478', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,33,591,3067770,Greenpoint
Initial,14316746,PC8732119,1,3079490100,3,7949,100,5566,WHITTY LANE,11203,1005425,172625,40.640460050383,-73.923701624926,Brooklyn,2026-06-08T09:25:47.000,Failed for Other Reason,2026-06-09T10:14:44.000,"{'latitude': '40.640460050383', 'longitude': '-73.923701624926', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,45,94401,3222297,Flatlands
Initial,14317234,PC8733723,1,1002800003,1,280,3,27,HENRY STREET,10002,,,40.712878855214,-73.996176411991,Manhattan,2026-06-08T09:28:00.000,Failed for Rat Activity,2026-06-09T10:16:44.000,"{'latitude': '40.712878855214', 'longitude': '-73.996176411991', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,8,1003400,Chinatown-Two Bridges
