inspection_type,job_id,boro_code,block,lot,house_number,street_name,zip_code,latitude,longitude,borough,inspection_date,result,location,community_board,council_district,census_tract,nta,bbl,bin,x_coord,y_coord
Treatments,PC8695879,2,2456,40,1064,SHERIDAN AVENUE,10456,40.83082791668,-73.918640288431,Bronx,2026-08-10T09:23:00.000,Bait applied,"{'latitude': '40.83082791668', 'longitude': '-73.918640288431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,18102,Concourse-Concourse Village,2024560040,2002735,,
Compliance,PC8746892,3,1709,24,12,SUYDAM PLACE,11233,40.677961087975,-73.926542766588,Brooklyn,2026-08-10T09:25:00.000,Failed for Other Reason,"{'latitude': '40.677961087975', 'longitude': '-73.926542766588', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,41,299,Bedford-Stuyvesant (East),3017090024,3048181,,
Treatments,PC8653319,3,1634,1,700,GATES AVENUE,11221,40.687801660441,-73.936667781616,Brooklyn,2026-08-10T09:27:02.000,Bait applied,"{'latitude': '40.687801660441', 'longitude': '-73.936667781616', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,277,Bedford-Stuyvesant (East),3016340001,3325018,1001814,189870
Initial,PC8758723,3,1134,8,633,CLASSON AVENUE,11238,40.678858231136,-73.958621841221,Brooklyn,2026-08-10T09:27:24.000,Failed for Other Reason,"{'latitude': '40.678858231136', 'longitude': '-73.958621841221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,35,305,Crown Heights (North),3011340008,3027757,,
Stoppage,PC8725472,3,1607,66,985,LAFAYETTE AVENUE,11221,40.692039995897,-73.932563686706,Brooklyn,2026-08-10T09:30:00.000,Stoppage done,"{'latitude': '40.692039995897', 'longitude': '-73.932563686706', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,289,Bedford-Stuyvesant (East),3016070066,3043484,,
Initial,PC8764616,1,267,50,1,JACKSON STREET,10002,40.714150905327,-73.980924980274,Manhattan,2026-08-10T09:30:10.000,Failed for Rat Activity,"{'latitude': '40.714150905327', 'longitude': '-73.980924980274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,202,Lower East Side,1002670050,1003222,,
Treatments,PC8669269,2,3068,77,614,EAST 179 STREET,10457,40.847771176236,-73.891984207003,Bronx,2026-08-10T09:30:32.000,Bait applied,"{'latitude': '40.847771176236', 'longitude': '-73.891984207003', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,373,Tremont,2030680077,2119194,,
Initial,PC8761371,3,1105,43,451,16 STREET,11215,40.660729390922,-73.981048444973,Brooklyn,2026-08-10T09:32:11.000,Failed for Rat Activity,"{'latitude': '40.660729390922', 'longitude': '-73.981048444973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,39,169,Windsor Terrace-South Slope,3011050043,3026710,989508,180001
Treatments,PC8692119,1,1229,36,454,AMSTERDAM AVENUE,10024,40.784951296907,-73.977019098362,Manhattan,2026-08-10T09:33:27.000,Bait applied,"{'latitude': '40.784951296907', 'longitude': '-73.977019098362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,6,167,Upper West Side (Central),1012290036,1032687,,
Treatments,PC8709501,3,1628,14,800,LEXINGTON AVENUE,11221,40.690433548903,-73.926857113538,Brooklyn,2026-08-10T09:34:52.000,Bait applied,"{'latitude': '40.690433548903', 'longitude': '-73.926857113538', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,41,387,Bedford-Stuyvesant (East),3016280014,3044423,,
