inspection_type,job_ticket_or_work_order_id,job_id,job_progress,bbl,boro_code,block,lot,house_number,street_name,zip_code,latitude,longitude,borough,inspection_date,result,approved_date,location,community_board,council_district,census_tract,bin,nta,x_coord,y_coord
Initial,14236066,PC8661219,1,3000510012,3,00051,0001,65,WASHINGTON STREET,11201,40.702300105824,-73.989627464703,Brooklyn,2026-02-02T08:09:00.000,Rat Activity,2026-02-03T11:55:46.000,"{'latitude': '40.702300105824', 'longitude': '-73.989627464703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2,33,21,3335874,Downtown Brooklyn-DUMBO-Boerum Hill,,
Compliance,14236314,PC8267035,4,3026250027,3,02625,0027,185,NORMAN AVENUE,11222,40.727054305704,-73.946844382363,Brooklyn,2026-02-02T08:10:22.000,Rat Activity,2026-02-04T15:40:31.000,"{'latitude': '40.727054305704', 'longitude': '-73.946844382363', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,33,573,3065857,Greenpoint,,
Compliance,14236010,PC8266754,4,3026250030,3,02625,0030,181,NORMAN AVENUE,11222,40.726999487184,-73.947010390873,Brooklyn,2026-02-02T08:25:20.000,Rat Activity,2026-02-03T08:58:22.000,"{'latitude': '40.726999487184', 'longitude': '-73.947010390873', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,33,573,3065860,Greenpoint,,
Compliance,14236362,PC8634190,2,3031060001,3,03106,0001,64,GRAHAM AVENUE,11206,40.70315350666,-73.942503096569,Brooklyn,2026-02-02T08:36:00.000,Failed for Other R,2026-02-05T15:28:59.000,"{'latitude': '40.70315350666', 'longitude': '-73.942503096569', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,491,3071509,East Williamsburg,1000192,195462
Compliance,14236122,PC8636755,2,3031190026,3,03119,0026,28,COOK STREET,11206,40.702280878677,-73.942922215787,Brooklyn,2026-02-02T08:53:00.000,Rat Activity,2026-02-03T11:02:25.000,"{'latitude': '40.702280878677', 'longitude': '-73.942922215787', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,491,3071603,East Williamsburg,1000076,195144
Initial,14236076,PC8661327,1,3000530009,3,00053,0009,126,FRONT STREET,11201,40.702437131351,-73.987492341214,Brooklyn,2026-02-02T09:22:00.000,Rat Activity,2026-02-03T11:38:13.000,"{'latitude': '40.702437131351', 'longitude': '-73.987492341214', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2,33,21,3000135,Downtown Brooklyn-DUMBO-Boerum Hill,,
Treatments,3062449,PC8520542,7,2038990037,2,03899,0037,1475,TAYLOR AVENUE,10460,40.836811826058,-73.866263820784,Bronx,2026-02-02T09:25:13.000,Bait applied,2026-02-03T10:32:39.000,"{'latitude': '40.836811826058', 'longitude': '-73.866263820784', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,17,218,2028219,Soundview-Bruckner-Bronx River,1021256,244181
Compliance,14236124,PC8399992,5,3027620003,3,02762,0003,562,LORIMER STREET,11211,40.713757020279,-73.949307928337,Brooklyn,2026-02-02T09:27:00.000,Failed for Rat Act,2026-02-03T11:06:31.000,"{'latitude': '40.713757020279', 'longitude': '-73.949307928337', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,503,3327261,East Williamsburg,998303,199324
Initial,14235694,PC8660802,1,2029780198,2,02978,0198,1679,SOUTHERN BOULEVARD,10460,40.836031413123,-73.888566555865,Bronx,2026-02-02T09:35:00.000,Failed for Other R,2026-02-05T15:06:09.000,"{'latitude': '40.836031413123', 'longitude': '-73.888566555865', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,17,155,2010525,Crotona Park East,,
Compliance,14235657,PC8548269,9,3052070050,3,05207,0050,621,EAST   21 STREET,11226,40.63881160819,-73.957810841079,Brooklyn,2026-02-02T09:36:27.000,Rat Activity,2026-02-03T11:17:14.000,"{'latitude': '40.63881160819', 'longitude': '-73.957810841079', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14,40,51601,3000000,Flatbush,,
